Type,Date,Time,Location,City,County,Zip,Geocode
NFS,08/27/2013,1428,Unknown location in Baltimore County,Unknown,Baltimore,0,"Unknown location in Baltimore County
Unknown 0
"
NFS,07/31/2013,1603,2501 Lake Dr,Waldorf,Charles,20601,"2501 Lake Dr
Waldorf 20601
(38.64507550200045, -76.89656939799966)"
NFS - self inflicted,09/11/2013,330,24 Amwich Ct,Waldorf,Charles,20602,"24 Amwich Ct
Waldorf 20602
(38.59567196100045, -76.91616758599963)"
NFS - self inflicted,02/12/2013,915,3615 Kempsford Field,Waldorf,Charles,20602,"3615 Kempsford Field
Waldorf 20602
(38.60749322000049, -76.89615705999967)"
NFS - self inflicted,09/15/2013,1750,3059 Heathcote Rd,Waldorf,Charles,20602,"3059 Heathcote Rd
Waldorf 20602
(38.608553319000464, -76.89297215299968)"
NFS - self inflicted,12/30/2013,200,Fairway Village,Waldorf,Charles,20602,"Fairway Village
Waldorf 20602
(38.59849764100045, -76.90249687199963)"
NFS,03/21/2013,1500,Wingate Ct.,Waldorf,Charles,20602,"Wingate Ct.
Waldorf 20602
(38.60133443100045, -76.89447146999964)"
NFS,11/03/2013,1910,12133 Ell Ln,Waldorf,Charles,20602,"12133 Ell Ln
Waldorf 20602
(38.61568034700048, -76.89214269699966)"
NFS,10/13/2013,0,Brice Chapel Rd,LaPlata,Charles,20602,"Brice Chapel Rd
LaPlata 20602
(38.557865699000445, -76.88029470099963)"
NFS,01/26/2013,2045,9425 Berry Rd.,Waldorf,Charles,20603,"9425 Berry Rd.
Waldorf 20603
(38.65208306900047, -76.98479979499967)"
NFS,08/23/2013,2034,Westlake Dash-IN,Waldorf,Charles,20603,"Westlake Dash-IN
Waldorf 20603
(38.62583641700047, -76.95670950499965)"
NFS,08/23/2013,2034,Westlake Dash-IN,Waldorf,Charles,20603,"Westlake Dash-IN
Waldorf 20603
(38.62583641700047, -76.95670950499965)"
NFS,01/29/2013,2021,3154 Heartleaf Lane,Waldorf,Charles,20603,"3154 Heartleaf Lane
Waldorf 20603
(38.62556692400045, -76.94371926199966)"
NFS,11/22/2013,1056,9340 Crain Hwy,Bel Alton,Charles,20611,"9340 Crain Hwy
Bel Alton 20611
(38.454766331000485, -76.99087692999967)"
NFS,02/12/2013,1808,14210 Gibbons Church Rd.,Brandywine,Prince George's,20613,"14210 Gibbons Church Rd.
Brandywine 20613
(38.69377262500046, -76.80847532699966)"
NFS,08/23/2013,2322,14201 Brandywine Rd,Brandywine,Prince George's,20613,"14201 Brandywine Rd
Brandywine 20613
(38.6967432080005, -76.84253677799967)"
NFS,08/23/2013,2322,14201 Brandywine Rd,Brandywine,Prince George's,20613,"14201 Brandywine Rd
Brandywine 20613
(38.6967432080005, -76.84253677799967)"
NFS,06/10/2013,2340,2558 Bolinbrook Ct,Bryans Road,Charles,20616,"2558 Bolinbrook Ct
Bryans Road 20616
(38.63105108700046, -77.08001256899968)"
NFS - self inflicted,07/26/2013,448,21500 Point Lookout Rd,Callaway,Balto. City,20620,"21500 Point Lookout Rd
Callaway 20620
(38.238807978000466, -76.54206085899966)"
NFS,02/09/2013,45,24451 Jenny Lynn Lane,Clements,St. Mary's,20624,"24451 Jenny Lynn Lane
Clements 20624
(38.33979510800049, -76.71718349599968)"
NFS,02/11/2013,0,Coronado Dr. & Mojave Dr.,Great Mills,St. Mary's,20634,"Coronado Dr. &amp; Mojave Dr.
Great Mills 20634
(38.26434933900049, -76.49573918199962)"
NFS,06/23/2013,1324,7412 Leonardtown Rd,Hughesville,Charles,20637,"7412 Leonardtown Rd
Hughesville 20637
(38.55025823000045, -76.80803861299967)"
NFS - self inflicted,06/12/2013,2224,3220 Caraway Dr,Huntingtown,Calvert,20639,"3220 Caraway Dr
Huntingtown 20639
(38.604641322000475, -76.59454614299966)"
NFS - self inflicted,10/03/2013,1750,10800 Hopewell Ct,LaPlata,Charles,20646,"10800 Hopewell Ct
LaPlata 20646
(38.539338055000485, -76.93706191199965)"
NFS - self inflicted,01/04/2013,1943,Westbury Blvd & Gooseneck Dr,Lexington Park,St. Mary's,20653,"Westbury Blvd &amp; Gooseneck Dr
Lexington Park 20653
(38.25263954900049, -76.45351876399963)"
NFS - self inflicted,06/14/2013,847,10750 Old Mill Rd,Lusby,Charles,20657,"10750 Old Mill Rd
Lusby 20657
(38.39316827300047, -76.45493223199963)"
NFS - self inflicted,12/24/2013,1631,27331 Birchwood Ct,Mechanicsville,St. Mary's,20659,"27331 Birchwood Ct
Mechanicsville 20659
(38.419172346000494, -76.72209336899965)"
NFS - self inflicted,06/28/2013,800,7395 Henson Landing Rd,Welcome,Charles,20693,"7395 Henson Landing Rd
Welcome 20693
(38.477454760000455, -77.05419366299964)"
NFS,05/19/2013,36,8710 Billingsley Rd.,Waldorf,Charles,20695,"8710 Billingsley Rd.
Waldorf 20695
(38.60907059800047, -77.00975452799963)"
NFS - self inflicted,07/18/2013,2320,11320 Evans Trail,Beltsville,Prince George's,20705,"11320 Evans Trail
Beltsville 20705
(39.0431050090005, -76.93872344999966)"
NFS,05/15/2013,1801,11901 Beltsville Dr.,Beltsville,Prince George's,20705,"11901 Beltsville Dr.
Beltsville 20705
(39.05248947700045, -76.93565843299967)"
NFS,01/13/2013,2001,8407 Hamlin St.,Glenarden,Prince George's,20706,"8407 Hamlin St.
Glenarden 20706
(38.92634714500048, -76.86224491099966)"
NFS,06/10/2013,2050,9050 Lanham Severn Rd,Lanaham,Prince George's,20706,"9050 Lanham Severn Rd
Lanaham 20706
(38.96453465400049, -76.85917803199965)"
NFS,10/05/2013,1750,7910 Martin Luther King Jr Highway,Lanham,Prince George's,20706,"7910 Martin Luther King Jr Highway
Lanham 20706
(38.93133443000045, -76.86908441599968)"
NFS,09/27/2013,5,6916 100th Ave,Lanham,Prince George's,20706,"6916 100th Ave
Lanham 20706
(38.9825793870005, -76.84164260799963)"
NFS,02/02/2013,338,11445 Laurel Bowie Rd,Laurel,Prince George's,20708,"11445 Laurel Bowie Rd
Laurel 20708
(39.04633744500046, -76.82627001599963)"
NFS,06/05/2013,350,1300 block of Burton River Rd,Lothian,Anne Arundel,20711,"1300 block of Burton River Rd
Lothian 20711
(38.80348631100048, -76.65940684899965)"
NFS,09/06/2013,2224,4603 27th St,Mt. Rainier,Prince George's,20712,"4603 27th St
Mt. Rainier 20712
(38.94654528400048, -76.96950853399966)"
NFS,06/01/2013,200,2700 Allison St,Mt Rainier,Prince George's,20712,"2700 Allison St
Mt Rainier 20712
(38.94756257200049, -76.96896551199967)"
NFS,03/10/2013,2259,3400 Blk Rhode Island Ave.,Mount Rainier,Prince George's,20712,"3400 Blk Rhode Island Ave.
Mount Rainier 20712
(38.9434867330005, -76.96594698699965)"
NFS,10/25/2013,323,3831 9th St,North Beach,Calvert,20714,"3831 9th St
North Beach 20714
(38.71077339100049, -76.53807396299965)"
NFS,07/11/2013,1315,1700 block of Stourbridge Ct,Bowie,Prince George's,20721,"1700 block of Stourbridge Ct
Bowie 20721
(38.91835956700049, -76.79545766099966)"
NFS,10/23/2013,1600,9551 Washington Blvd,Savage,Howard,20723,"9551 Washington Blvd
Savage 20723
(39.12253092700047, -76.82565584999963)"
NFS,11/24/2013,30,Joan Pl & Maxfield Ct,Clinton,Prince George's,20735,"Joan Pl &amp; Maxfield Ct
Clinton 20735
(38.75721634700045, -76.89952923299967)"
NFS - self inflicted,01/19/2013,220,7503 Surrats Rd,Clinton,Prince George's,20735,"7503 Surrats Rd
Clinton 20735
(38.75026163400048, -76.87697268299968)"
NFS,03/09/2013,117,"3502 Kidder Rd.,",Clinton,Prince George's,20735,"3502 Kidder Rd.,
Clinton 20735
(38.71420719100047, -76.94683671899963)"
NFS - self inflicted,09/19/2013,2315,5621 61st Pl,Riverdale,Prince George's,20737,"5621 61st Pl
Riverdale 20737
(38.95644102600045, -76.91220604099965)"
